64.233.160.0,64.233.191.255,1,28/09/10,test
2.160.0.0,2.175.255.255,1048576,28/09/10,Telekom Deutschland GmbH
2.200.0.0,2.207.255.255,524288,18/11/10,Vodafone GmbH
2.208.0.0,2.215.255.255,524288,18/11/10,Telefonica Germany GmbH & Co.OHG
2.240.0.0,2.247.255.255,524288,13/12/10,Telefonica Germany GmbH & Co.OHG
5.1.64.0,5.1.95.255,8192,25/04/12,meerfarbig GmbH & Co. KG
5.1.128.0,5.1.255.255,32768,25/04/12,Telefonica Germany GmbH & Co.OHG
5.4.0.0,5.7.255.255,262144,25/04/12,Telefonica Germany GmbH & Co.OHG
5.9.0.0,5.9.255.255,65536,25/04/12,Hetzner Online GmbH
5.10.48.0,5.10.63.255,4096,26/07/12,Unitymedia BW GmbH
5.10.160.0,5.10.191.255,8192,01/05/12,Unitymedia NRW GmbH
5.10.208.0,5.10.223.255,4096,01/05/12,EFN eifel-net Internet-Provider GmbH
5.28.64.0,5.28.127.255,16384,08/05/12,Tele Columbus AG
5.28.192.0,5.28.255.255,16384,08/05/12,IPFFM - Internet Provider Frankfurt GmbH
5.35.224.0,5.35.255.255,8192,15/05/12,Host Europe GmbH
5.44.96.0,5.44.111.255,4096,23/05/12,dogado GmbH
5.45.96.0,5.45.111.255,4096,24/05/12,netcup GmbH
5.56.176.0,5.56.191.255,4096,31/05/12,Unitymedia BW GmbH
5.56.192.0,5.56.255.255,16384,31/05/12,Unitymedia BW GmbH
5.61.128.0,5.61.191.255,16384,07/06/12,TELE AG
5.62.96.0,5.62.127.255,8192,08/06/12,marbis GmbH
5.63.32.0,5.63.63.255,8192,11/06/12,PURtel.com GmbH
5.75.128.0,5.75.255.255,32768,11/06/12,Hetzner Online GmbH
5.83.128.0,5.83.159.255,8192,15/06/12,GHOSTnet GmbH
5.83.160.0,5.83.175.255,4096,15/06/12,marbis GmbH
5.83.176.0,5.83.191.255,4096,15/06/12,Stiegeler Internet Service GmbH
5.100.0.0,5.100.63.255,16384,25/06/12,suec // dacor GmbH
5.100.128.0,5.100.143.255,4096,25/06/12,inexio Informationstechnologie und Telekommunikation Gmbh
5.145.128.0,5.145.143.255,4096,13/07/12,RelAix Networks GmbH
5.146.0.0,5.147.255.255,131072,13/07/12,Unitymedia NRW GmbH
5.149.224.0,5.149.239.255,4096,17/07/12,DegNet GmbH
5.158.128.0,5.158.191.255,16384,26/07/12,Unitymedia BW GmbH
5.159.64.0,5.159.95.255,8192,27/07/12,terralink networks GmbH
5.161.0.0,5.161.127.255,32768,25/07/12,Hetzner Online GmbH
5.161.128.0,5.161.255.255,32768,25/07/12,Hetzner Online GmbH
5.175.0.0,5.175.31.255,8192,01/08/12,Host Europe GmbH
5.175.128.0,5.175.255.255,32768,02/08/12,GHOSTnet GmbH
5.189.128.0,5.189.159.255,8192,09/08/12,Contabo GmbH
5.189.160.0,5.189.191.255,8192,09/08/12,Contabo GmbH
5.199.128.0,5.199.143.255,4096,28/08/12,myLoc managed IT AG
5.199.240.0,5.199.255.255,4096,29/08/12,RelAix Networks GmbH
5.230.0.0,5.231.255.255,131072,11/09/12,GHOSTnet GmbH
24.134.0.0,24.134.255.255,65536,25/04/12,Vodafone Kabel Deutschland GmbH
31.7.176.0,31.7.191.255,4096,13/04/11,Core-Backbone GmbH
31.12.32.0,31.12.63.255,8192,15/04/11,Bundesministerium des Innern
31.16.0.0,31.19.255.255,262144,24/03/11,Vodafone Kabel Deutschland GmbH
31.47.240.0,31.47.255.255,4096,22/03/11,dogado GmbH
31.150.0.0,31.150.255.255,65536,17/02/11,EWE TEL GmbH
31.170.192.0,31.170.223.255,8192,31/03/11,Megaspace Internet Services GmbH
31.172.0.0,31.172.63.255,16384,01/04/11,rrbone GmbH
31.172.64.0,31.172.95.255,8192,01/04/11,First Colo GmbH
31.172.112.0,31.172.127.255,4096,01/04/11,Wavecon GmbH
31.184.0.0,31.184.63.255,16384,17/02/11,EWE TEL GmbH
31.187.112.0,31.187.127.255,4096,25/03/11,EWE TEL GmbH
31.204.112.0,31.204.127.255,4096,29/04/11,recast IT GmbH & Co. KG
31.209.80.0,31.209.95.255,4096,02/05/11,LWLcom GmbH
31.209.112.0,31.209.127.255,4096,03/05/11,MK Netzdienste GmbH & Co. KG
31.209.160.0,31.209.175.255,4096,03/05/11,ip-fabric GmbH
31.212.0.0,31.213.255.255,131072,04/05/11,Telekom Deutschland GmbH
31.220.0.0,31.220.15.255,4096,10/05/11,TerraTransit AG
31.220.32.0,31.220.47.255,4096,10/05/11,TerraTransit AG
31.224.0.0,31.255.255.255,2097152,04/05/11,Telekom Deutschland GmbH
37.1.112.0,37.1.127.255,4096,12/12/11,JIntelligence GmbH
37.4.0.0,37.5.255.255,131072,09/12/11,Vodafone Kabel Deutschland GmbH
37.24.0.0,37.24.255.255,65536,22/12/11,Unitymedia NRW GmbH
37.25.128.0,37.25.255.255,32768,23/12/11,Vodafone Group Services GmbH
37.49.0.0,37.49.127.255,32768,25/01/12,Unitymedia BW GmbH
